Title,Details,File,Status,Stage,Source,Create at,Year,Month,Day,Sent by,Sent to,Custom response,Classification Title,Classification Source
"PUBLICACIÓN SOBRE Apache,N° 194","#### Estimado Freddy Guzmán Martínez""; ; **Tarea asignada, aprobar la solicitud de CDC Publicación, sin su injerencia el flujo se detendrá.**; ; **DATOS DE LA SOLICITUD**; ; - Fecha de ingreso:......................  2025-06-27T13:34:29.4591377; - Nombre:.....................................  Santiago Córdova Paredes; - Correo:........................................  scordova@usfq.edu.ec; - Cargo:.........................................  Coordinador de Desarrollo; ""- Tipo:.................................",,Completed,Empty,Freddy Guzmán Martínez | 6/27/2025 6:42:39 PM | Aprobado,6/27/2025 1:34:53 PM,2025,6,27,Control De Cambios Infraestructura,"Cindy Belén Espinoza Aguirre,Freddy Guzmán Martínez,Control De Cambios Infraestructura",",""",Publicación,Otro
CDC BDD No 625,"#### Estimado ""; ; **Se ha asignado una solicitud por favor revisar la información recibida:**; ; **AUTORIDAD, ÁREA, DEPARTAMENTO, DIRECCIÓN, COORDINACIÓN QUIEN SOLICITA:  ; ; María Dolores Lasso - Decanato de Grado; ; **DATOS DEL SOLICITANTE**; ; - Fecha de ingreso:....................  2025-06-23T11:33:17.2544299; - Nombre:.....................................  Daniela Cisneros Jacome; - Correo:........................................  dcisnerosj@usfq.edu.ec; ""- Cargo:.......................................","https://estudusfqedu-my.sharepoint.com/:x:/g/personal/cdcinfra_usfq_edu_ec/EQsdF6fnQoFHlZM8bxFLcSEBSty09RmggFsCUx6K0YtZ4w?e=aJlAmi,Catalogo de Servicios Infraestructura",Completed,Empty,Freddy Guzmán Martínez | 6/23/2025 4:36:59 PM | APROBADO,6/23/2025 11:33:23 AM,2025,6,23,Control De Cambios Infraestructura,"Freddy Guzmán Martínez,Cindy Belén Espinoza Aguirre",",""",Base de Datos,Otro
CDC BDD No 624,"#### Estimado ""; ; **Se ha asignado una solicitud por favor revisar la información recibida:**; ; **AUTORIDAD, ÁREA, DEPARTAMENTO, DIRECCIÓN, COORDINACIÓN QUIEN SOLICITA:  ; ; USFQ Path: Verónica Vasco; ; **DATOS DEL SOLICITANTE**; ; - Fecha de ingreso:....................  2025-06-20T16:12:37.3953071; - Nombre:.....................................  Pamela Rivera Espinosa; - Correo:........................................  priverae@usfq.edu.ec; ""- Cargo:.........................................  Ingeniera de","https://estudusfqedu-my.sharepoint.com/:x:/g/personal/cdcinfra_usfq_edu_ec/EQsdF6fnQoFHlZM8bxFLcSEBSty09RmggFsCUx6K0YtZ4w?e=aJlAmi,Catalogo de Servicios Infraestructura",Completed,Empty,Freddy Guzmán Martínez | 6/20/2025 9:22:41 PM | APROBADO,6/20/2025 4:12:46 PM,2025,6,20,Control De Cambios Infraestructura,"Cindy Belén Espinoza Aguirre,Freddy Guzmán Martínez",",""",Base de Datos,Otro
CDC BDD No 623,"#### Estimado ""; ; **Se ha asignado una solicitud por favor revisar la información recibida:**; ; **AUTORIDAD, ÁREA, DEPARTAMENTO, DIRECCIÓN, COORDINACIÓN QUIEN SOLICITA:  ; ; María Dolores Lasso - Decanato de Grado; ; **DATOS DEL SOLICITANTE**; ; - Fecha de ingreso:....................  2025-06-19T15:02:41.2180568; - Nombre:.....................................  Daniela Cisneros Jacome; - Correo:........................................  dcisnerosj@usfq.edu.ec; ""- Cargo:.......................................","https://estudusfqedu-my.sharepoint.com/:x:/g/personal/cdcinfra_usfq_edu_ec/EQsdF6fnQoFHlZM8bxFLcSEBSty09RmggFsCUx6K0YtZ4w?e=aJlAmi,Catalogo de Servicios Infraestructura",Completed,Empty,Freddy Guzmán Martínez | 6/19/2025 8:03:23 PM | APROBADO,6/19/2025 3:02:50 PM,2025,6,19,Control De Cambios Infraestructura,"Freddy Guzmán Martínez,Cindy Belén Espinoza Aguirre",",""",Base de Datos,Otro
"PUBLICACIÓN SOBRE Apache,N° 193","#### Estimado Freddy Guzmán Martínez""; ; **Tarea asignada, aprobar la solicitud de CDC Publicación, sin su injerencia el flujo se detendrá.**; ; **DATOS DE LA SOLICITUD**; ; - Fecha de ingreso:......................  2025-06-19T10:24:06.8773667; - Nombre:.....................................  Santiago Córdova Paredes; - Correo:........................................  scordova@usfq.edu.ec; - Cargo:.........................................  Coordinador de Desarrollo; ""- Tipo:.................................",,Completed,Empty,Freddy Guzmán Martínez | 6/19/2025 3:24:59 PM | Aprobado,6/19/2025 10:24:21 AM,2025,6,19,Control De Cambios Infraestructura,"Control De Cambios Infraestructura,Cindy Belén Espinoza Aguirre,Freddy Guzmán Martínez",",""",Publicación,Otro
CDC BDD No 622,"#### Estimado ""; ; **Se ha asignado una solicitud por favor revisar la información recibida:**; ; **AUTORIDAD, ÁREA, DEPARTAMENTO, DIRECCIÓN, COORDINACIÓN QUIEN SOLICITA:  ; ; Registro: Juan Sosa; ; **DATOS DEL SOLICITANTE**; ; - Fecha de ingreso:....................  2025-06-19T10:23:57.1073258; - Nombre:.....................................  David Cruz; - Correo:........................................  dcruz@usfq.edu.ec; - Cargo:.........................................  Coordinador de Producción; ""- Tipo:.","https://estudusfqedu-my.sharepoint.com/:x:/g/personal/cdcinfra_usfq_edu_ec/EQsdF6fnQoFHlZM8bxFLcSEBSty09RmggFsCUx6K0YtZ4w?e=aJlAmi,Catalogo de Servicios Infraestructura",Completed,Empty,Freddy Guzmán Martínez | 6/19/2025 3:24:46 PM | APROBADO,6/19/2025 10:24:04 AM,2025,6,19,Control De Cambios Infraestructura,"Freddy Guzmán Martínez,Cindy Belén Espinoza Aguirre",",""",Base de Datos,Otro
CDC BDD No 621,"#### Estimado ""; ; **Se ha asignado una solicitud por favor revisar la información recibida:**; ; **AUTORIDAD, ÁREA, DEPARTAMENTO, DIRECCIÓN, COORDINACIÓN QUIEN SOLICITA:  ; ; Registro: Juan Sosa; ; **DATOS DEL SOLICITANTE**; ; - Fecha de ingreso:....................  2025-06-18T17:44:16.3156491; - Nombre:.....................................  David Cruz; - Correo:........................................  dcruz@usfq.edu.ec; - Cargo:.........................................  Coordinador de Producción; ""- Tipo:.","https://estudusfqedu-my.sharepoint.com/:x:/g/personal/cdcinfra_usfq_edu_ec/EQsdF6fnQoFHlZM8bxFLcSEBSty09RmggFsCUx6K0YtZ4w?e=aJlAmi,Catalogo de Servicios Infraestructura",Completed,Empty,Freddy Guzmán Martínez | 6/19/2025 2:03:05 PM | APROBADO,6/18/2025 5:44:24 PM,2025,6,18,Control De Cambios Infraestructura,"Freddy Guzmán Martínez,Cindy Belén Espinoza Aguirre",",""",Base de Datos,Otro
CDC BDD No 620,"#### Estimado ""; ; **Se ha asignado una solicitud por favor revisar la información recibida:**; ; **AUTORIDAD, ÁREA, DEPARTAMENTO, DIRECCIÓN, COORDINACIÓN QUIEN SOLICITA:  ; ; Juan Sosa - Registro; ; **DATOS DEL SOLICITANTE**; ; - Fecha de ingreso:....................  2025-06-16T12:59:12.7989734; - Nombre:.....................................  Daniela Cisneros Jacome; - Correo:........................................  dcisnerosj@usfq.edu.ec; ""- Cargo:.........................................  Asistente de Pr","https://estudusfqedu-my.sharepoint.com/:x:/g/personal/cdcinfra_usfq_edu_ec/EQsdF6fnQoFHlZM8bxFLcSEBSty09RmggFsCUx6K0YtZ4w?e=aJlAmi,Catalogo de Servicios Infraestructura",Completed,Empty,Freddy Guzmán Martínez | 6/16/2025 10:11:23 PM | APROBADO,6/16/2025 12:59:21 PM,2025,6,16,Control De Cambios Infraestructura,"Cindy Belén Espinoza Aguirre,Freddy Guzmán Martínez",",""",Base de Datos,Otro
CDC BDD No 619,"#### Estimado ""; ; **Se ha asignado una solicitud por favor revisar la información recibida:**; ; **AUTORIDAD, ÁREA, DEPARTAMENTO, DIRECCIÓN, COORDINACIÓN QUIEN SOLICITA:  ; ; Juan Sosa - Registro; ; **DATOS DEL SOLICITANTE**; ; - Fecha de ingreso:....................  2025-06-13T09:38:26.4875779; - Nombre:.....................................  Daniela Cisneros Jacome; - Correo:........................................  dcisnerosj@usfq.edu.ec; ""- Cargo:.........................................  Asistente de Pr","https://estudusfqedu-my.sharepoint.com/:x:/g/personal/cdcinfra_usfq_edu_ec/EQsdF6fnQoFHlZM8bxFLcSEBSty09RmggFsCUx6K0YtZ4w?e=aJlAmi,Catalogo de Servicios Infraestructura",Completed,Empty,Freddy Guzmán Martínez | 6/13/2025 3:11:52 PM | APROBADO,6/13/2025 9:38:34 AM,2025,6,13,Control De Cambios Infraestructura,"Cindy Belén Espinoza Aguirre,Freddy Guzmán Martínez",",""",Base de Datos,Otro
"PUBLICACIÓN SOBRE Apache,N° 192","#### Estimado Freddy Guzmán Martínez""; ; **Tarea asignada, aprobar la solicitud de CDC Publicación, sin su injerencia el flujo se detendrá.**; ; **DATOS DE LA SOLICITUD**; ; - Fecha de ingreso:......................  2025-06-12T16:38:09.2433640; - Nombre:.....................................  Santiago Córdova Paredes; - Correo:........................................  scordova@usfq.edu.ec; - Cargo:.........................................  Coordinador de Desarrollo; ""- Tipo:.................................",,Completed,Empty,Cindy Belén Espinoza Aguirre | 6/12/2025 9:49:25 PM | Aprobado,6/12/2025 4:38:19 PM,2025,6,12,Control De Cambios Infraestructura,"Cindy Belén Espinoza Aguirre,Freddy Guzmán Martínez,Control De Cambios Infraestructura",",""",Publicación,Otro
"PUBLICACIÓN SOBRE Apache,N° 191","#### Estimado Freddy Guzmán Martínez""; ; **Tarea asignada, aprobar la solicitud de CDC Publicación, sin su injerencia el flujo se detendrá.**; ; **DATOS DE LA SOLICITUD**; ; - Fecha de ingreso:......................  2025-06-12T15:43:15.9035688; - Nombre:.....................................  Santiago Córdova Paredes; - Correo:........................................  scordova@usfq.edu.ec; - Cargo:.........................................  Coordinador de Desarrollo; ""- Tipo:.................................",,Completed,Empty,Freddy Guzmán Martínez | 6/12/2025 8:45:34 PM | Aprobado,6/12/2025 3:43:27 PM,2025,6,12,Control De Cambios Infraestructura,"Freddy Guzmán Martínez,Cindy Belén Espinoza Aguirre,Control De Cambios Infraestructura",",""",Publicación,Otro
CDC BDD No 618,"#### Estimado ""; ; **Se ha asignado una solicitud por favor revisar la información recibida:**; ; **AUTORIDAD, ÁREA, DEPARTAMENTO, DIRECCIÓN, COORDINACIÓN QUIEN SOLICITA:  ; ; Registro: Juan Sosa; ; **DATOS DEL SOLICITANTE**; ; - Fecha de ingreso:....................  2025-06-09T17:57:06.4014299; - Nombre:.....................................  David Cruz; - Correo:........................................  dcruz@usfq.edu.ec; - Cargo:.........................................  Coordinador de Producción; ""- Tipo:.","https://estudusfqedu-my.sharepoint.com/:x:/g/personal/cdcinfra_usfq_edu_ec/EQsdF6fnQoFHlZM8bxFLcSEBSty09RmggFsCUx6K0YtZ4w?e=aJlAmi,Catalogo de Servicios Infraestructura",Completed,Empty,Freddy Guzmán Martínez | 6/10/2025 2:48:43 PM | APROBADO,6/9/2025 5:57:14 PM,2025,6,9,Control De Cambios Infraestructura,"Freddy Guzmán Martínez,Cindy Belén Espinoza Aguirre",",""",Base de Datos,Otro
CDC BDD No 617,"#### Estimado ""; ; **Se ha asignado una solicitud por favor revisar la información recibida:**; ; **AUTORIDAD, ÁREA, DEPARTAMENTO, DIRECCIÓN, COORDINACIÓN QUIEN SOLICITA:  ; ; Coordinador de Desarrollo Tecnologías de la Información: Santiago Córdova Paredes ; ; **DATOS DEL SOLICITANTE**; ; - Fecha de ingreso:....................  2025-06-06T16:41:01.8984676; - Nombre:.....................................  José Andrés Naranjo Samaniego; ""- Correo:........................................  janaranjo@usfq.edu.ec","https://estudusfqedu-my.sharepoint.com/:x:/g/personal/cdcinfra_usfq_edu_ec/EQsdF6fnQoFHlZM8bxFLcSEBSty09RmggFsCUx6K0YtZ4w?e=aJlAmi,Catalogo de Servicios Infraestructura",Completed,Empty,Freddy Guzmán Martínez | 6/6/2025 9:41:54 PM | APROBADO,6/6/2025 4:41:09 PM,2025,6,6,Control De Cambios Infraestructura,"Freddy Guzmán Martínez,Cindy Belén Espinoza Aguirre",",""",Base de Datos,Otro
CDC BDD No 616,"#### Estimado ""; ; **Se ha asignado una solicitud por favor revisar la información recibida:**; ; **AUTORIDAD, ÁREA, DEPARTAMENTO, DIRECCIÓN, COORDINACIÓN QUIEN SOLICITA:  ; ; Coordinador de Desarrollo: Santiago Córdova Paredes; ; **DATOS DEL SOLICITANTE**; ; - Fecha de ingreso:....................  2025-06-05T12:47:09.8866646; - Nombre:.....................................  Carlos Valdez Puente; - Correo:........................................  cvaldezp@usfq.edu.ec; ""- Cargo:................................","https://estudusfqedu-my.sharepoint.com/:x:/g/personal/cdcinfra_usfq_edu_ec/EQsdF6fnQoFHlZM8bxFLcSEBSty09RmggFsCUx6K0YtZ4w?e=aJlAmi,Catalogo de Servicios Infraestructura",Completed,Empty,Freddy Guzmán Martínez | 6/5/2025 6:54:42 PM | APROBADO,6/5/2025 12:47:17 PM,2025,6,5,Control De Cambios Infraestructura,"Cindy Belén Espinoza Aguirre,Freddy Guzmán Martínez",",""",Base de Datos,Otro
CDC BDD No 615,"#### Estimado ""; ; **Se ha asignado una solicitud por favor revisar la información recibida:**; ; **AUTORIDAD, ÁREA, DEPARTAMENTO, DIRECCIÓN, COORDINACIÓN QUIEN SOLICITA:  ; ; Yuvinne Guerrero; ; **DATOS DEL SOLICITANTE**; ; - Fecha de ingreso:....................  2025-06-02T14:21:11.2501303; - Nombre:.....................................  Marisol Oña Tituaña; - Correo:........................................  jmona@usfq.edu.ec; - Cargo:.........................................  Ingeniera de Producción; ""- Ti","https://estudusfqedu-my.sharepoint.com/:x:/g/personal/cdcinfra_usfq_edu_ec/EQsdF6fnQoFHlZM8bxFLcSEBSty09RmggFsCUx6K0YtZ4w?e=aJlAmi,Catalogo de Servicios Infraestructura",Completed,Empty,Freddy Guzmán Martínez | 6/2/2025 7:29:16 PM | APROBADO,6/2/2025 2:21:20 PM,2025,6,2,Control De Cambios Infraestructura,"Cindy Belén Espinoza Aguirre,Freddy Guzmán Martínez",",""",Base de Datos,Otro
SOLICITUD CDC BDD 615,"#### Estimad@ Cindy Belén Espinoza Aguirre""; ; **Tarea asignada, aprobar la solicitud de CDC, sin su injerencia el flujo se detendrá.**; ; **AUTORIDAD, ÁREA, DEPARTAMENTO, DIRECCIÓN, COORDINACIÓN QUIEN SOLICITA:**; ; Yuvinne Guerrero; ; ; **DATOS DEL SOLICITANTE**; - Fecha de ingreso:.................  2025-06-02T12:34:43.0936605; - Nombre:.....................................  Marisol Oña Tituaña; - Correo:........................................  jmona@usfq.edu.ec; ""- Cargo:..................................",,Completed,Empty,Cindy Belén Espinoza Aguirre | 6/2/2025 7:20:22 PM | Aprobado,6/2/2025 12:34:54 PM,2025,6,2,Control De Cambios Infraestructura,"Control De Cambios Infraestructura,Cindy Belén Espinoza Aguirre",",""",Base de Datos,Otro
